14
1d4d89,E,Tractor,MegaTract 150HP, 01-01-04
0ec6e9,E,Harvester,Husker 2000, 01-01-04
740515,E,Baler,Haymaker 400, 01-01-04
3506f6,E,Backhoe,BidDoug X25, 01-01-04
649f88,E,Truck,F105,01-01-04
342foa3,P,Haybale, bale, 500,01-01-04
3n3k4l2,P,Corn seed,bag,50,01-01-04
n3453js,P,Fertilizer,liter,10.25,01-01-04
l4k32j4,P,Wire fencing,lft,8,01-01-04
23n4kl2,P,Top soil,ton,850,01-01-04
2334b23,S,Delivery,100,01-01-04
n43k2l3,S,Plowing,1000,01-01-04
432kn2l,S,Tractor Driving Lessons,25,01-01-04
8432941,S,Cattle Vaccination,225.50,01-01-04
